SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,90.6,93.4,88.5,89,89.3,90.6,223790,20294191.7,02-NOV-2022,5012,INE144J01027,
21STCENMGM,EQ,23,23.4,22.6,22.6,22.6,23,6274,143649.05,02-NOV-2022,94,INE253B01015
