SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,98.6,99.2,94.2,94.9,95.4,98.1,204211,19598870.75,16-NOV-2022,4229,INE144J01027,
21STCENMGM,EQ,22.3,22.45,21.9,21.9,21.9,22.3,11478,253518.05,16-NOV-2022,85,INE253B01015
