SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
182D151222,TB,99.5,99.5,99.5,99.5,99.5,98.74,100,9950,15-NOV-2022,1,IN002022Y112,
20MICRONS,EQ,93.15,99.9,92.25,98.1,98.05,92.7,510509,49987188.95,15-NOV-2022,9777,INE144J01027
