SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
1018GS2026,GS,105.98,105.98,105.98,105.98,105.98,111.5,1,105.98,14-NOV-2022,1,IN0020010081,
182D090323,TB,97.15,97.5,97.15,97.44,97.5,96.7,600,58465,14-NOV-2022,2,IN002022Y245
